person,elements_key,elements_year,elements_city,elements_language_first,elements_format,elements_books,elements_claim_flags,elements_social_flags,non_elements_key,non_elements_year,non_elements_city,non_elements_language_first,non_elements_format,non_elements_subject_family,non_elements_claim_flags,non_elements_social_flags,year_gap,same_city,same_language_first,same_format
Christopher Clavius,Rome_1603,1603,Rome,LATIN,8,1–16,claim_method_demonstration_order; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_ancient_authority_restoration; claim_visual_material_aids,religious_institutional_arena,X2T7PY,1586,Rome,LATIN,,Instruments/Measurement,claim_augmentation_enrichment_composition,religious_institutional_arena,17,1,1,0
Christopher Clavius,Rome_1629,1629,Rome,LATIN,12,1–6,claim_augmentation_enrichment_composition; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,religious_institutional_arena,TDJC06,1612,Mainz,LATIN,,No primary family,,no_visible_social_arena,17,0,1,0
Claude-François Milliet Dechales,Lyon_1660,1660,Lyon,LATIN,18,"1–6, 11–12",claim_ancient_authority_restoration,no_visible_social_arena,bib-54,1677,Paris,FRENCH,,Visual/Spatial Arts | Applied Mechanics/Military,claim_augmentation_enrichment_composition; claim_visual_material_aids,religious_institutional_arena,17,0,0,0
Denis Henrion,Paris_1630,1630,Paris,FRENCH,8,1–6,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,learned_scholarly_arena,ustc-18,1613,Paris,FRENCH,,Geometry/Theory | Arithmetic/Commerce | Visual/Spatial Arts | Applied Mechanics/Military,claim_utility_practice_application; claim_augmentation_enrichment_composition; claim_visual_material_aids,learned_scholarly_arena; patronage_prestige_arena,17,1,1,0
Federico Commandino,Urbino_1575,1575,Urbino,ITALIAN,2,1-15,claim_method_demonstration_order; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration; claim_visual_material_aids,patronage_prestige_arena,bib-41,1558,Venice,LATIN,,Visual/Spatial Arts | Cosmos/Earth,,no_visible_social_arena,17,0,0,0
Jan Pietersz Dou,Rotterdam_1647,1647,Rotterdam,DUTCH,8,1–6,claim_method_demonstration_order; claim_accessibility_clarity_pedagogy; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration; claim_visual_material_aids; claim_selection_extraction_abridgment,pedagogical_school_arena; court_state_service_arena; general_public_lovers_arena,bib-205,1664,Dordrecht,DUTCH,,Geometry/Theory | Arithmetic/Commerce | Instruments/Measurement,,no_visible_social_arena,17,0,1,0
Jan Pietersz Dou,Rotterdam_1681,1681,Rotterdam,DUTCH,8,1–6,claim_method_demonstration_order; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_ancient_authority_restoration; claim_visual_material_aids; claim_selection_extraction_abridgment,general_public_lovers_arena,bib-205,1664,Dordrecht,DUTCH,,Geometry/Theory | Arithmetic/Commerce | Instruments/Measurement,,no_visible_social_arena,17,0,1,0
Marin Mersenne,Paris_1644c,1644,Paris,LATIN,4,1–18 (enunciations),,no_visible_social_arena,MorisS-21-2,1627,Paris,FRENCH,,Music,claim_augmentation_enrichment_composition,no_visible_social_arena,17,1,0,0
Claude Hardy,Paris_1625,1625,Paris,GREEK,4,,claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,court_state_service_arena; learned_scholarly_arena,Hardy-1,1643,Paris,FRENCH,,Geometry/Theory,claim_ancient_authority_restoration,no_visible_social_arena,18,1,0,0
Claude Hardy,Paris_1625,1625,Paris,GREEK,4,,claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,court_state_service_arena; learned_scholarly_arena,Hardy-2,1643,Paris,FRENCH,,Geometry/Theory,claim_method_demonstration_order,no_visible_social_arena,18,1,0,0
Claude Hardy,Paris_1625,1625,Paris,GREEK,4,,claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,court_state_service_arena; learned_scholarly_arena,Hardy-4,1643,Paris,FRENCH,,Geometry/Theory,,no_visible_social_arena,18,1,0,0
Jan Pietersz Dou,Amsterdam_1618,1618,Amsterdam,GERMAN,4,1–6,claim_method_demonstration_order; claim_ancient_authority_restoration; claim_visual_material_aids,no_visible_social_arena,bib-209,1600,Leiden,DUTCH,,Geometry/Theory | Instruments/Measurement,,no_visible_social_arena,18,0,0,0
Jan Pietersz Dou,Amsterdam_1618,1618,Amsterdam,GERMAN,4,1–6,claim_method_demonstration_order; claim_ancient_authority_restoration; claim_visual_material_aids,no_visible_social_arena,bib-210,1600,Leiden,DUTCH,,Geometry/Theory | Instruments/Measurement | Cosmos/Earth,,no_visible_social_arena,18,0,0,0
Marin Mersenne,Paris_1644c,1644,Paris,LATIN,4,1–18 (enunciations),,no_visible_social_arena,MorisS-21-1,1626,Paris,LATIN,,No primary family,,no_visible_social_arena,18,1,1,0
Oronce Finé,Paris_1544,1544,Paris,LATIN,2,1-6,claim_method_demonstration_order; claim_correction_revision_accuracy; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,learned_scholarly_arena,bib-170,1526,Paris,LATIN,,Instruments/Measurement | Cosmos/Earth,,no_visible_social_arena,18,1,1,0
Pierre Bourdín,Paris_1643,1643,Paris,FRENCH,12,?,claim_method_demonstration_order; claim_accessibility_clarity_pedagogy; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,no_visible_social_arena,Paris_1661,1661,Paris,FRENCH,,Geometry/Theory | Instruments/Measurement | Applied Mechanics/Military,claim_utility_practice_application,patronage_prestige_arena,18,1,1,0
[No named author/editor],s.l_1650,1650,,LATIN,8,1-6,,no_visible_social_arena,ustc-27,1632,Paris,FRENCH,,Arithmetic/Commerce,,no_visible_social_arena,18,0,0,0
[No named author/editor],s.l_1650,1650,,LATIN,8,1-6,,no_visible_social_arena,ustc-52,1632,Paris,FRENCH,,Arithmetic/Commerce,claim_accessibility_clarity_pedagogy; claim_augmentation_enrichment_composition; claim_selection_extraction_abridgment,no_visible_social_arena,18,0,0,0
Claude Hardy,Paris_1625,1625,Paris,GREEK,4,,claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,court_state_service_arena; learned_scholarly_arena,Hardy-5,1644,Paris,FRENCH,,Geometry/Theory,claim_ancient_authority_restoration,no_visible_social_arena,19,1,0,0
Claude-François Milliet Dechales,London_1696,1696,London,ENGLISH,8,"1–6, 11–12",claim_method_demonstration_order; claim_accessibility_clarity_pedagogy; claim_utility_practice_application; claim_ancient_authority_restoration,religious_institutional_arena; learned_scholarly_arena; patronage_prestige_arena,bib-54,1677,Paris,FRENCH,,Visual/Spatial Arts | Applied Mechanics/Military,claim_augmentation_enrichment_composition; claim_visual_material_aids,religious_institutional_arena,19,0,0,0
Denis Henrion,Paris_1632,1632,Paris,FRENCH,4,1-15,claim_accessibility_clarity_pedagogy; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration; claim_visual_material_aids,no_visible_social_arena,ustc-18,1613,Paris,FRENCH,,Geometry/Theory | Arithmetic/Commerce | Visual/Spatial Arts | Applied Mechanics/Military,claim_utility_practice_application; claim_augmentation_enrichment_composition; claim_visual_material_aids,learned_scholarly_arena; patronage_prestige_arena,19,1,1,0
Denis Henrion,Rouen_1649,1649,Rouen,FRENCH,8,1–15,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,learned_scholarly_arena,MorisS-16-11,1630,Paris,FRENCH,,Geometry/Theory | Instruments/Measurement | Cosmos/Earth,,learned_scholarly_arena,19,0,1,0
Pierre Forcadel,Paris_1566a,1566,Paris,FRENCH,8,,claim_ancient_authority_restoration; claim_selection_extraction_abridgment,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,TJONV6,1585,Paris,FRENCH,8,Arithmetic/Commerce,claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer,no_visible_social_arena,19,1,1,1
Pierre Forcadel,Paris_1566b,1566,Paris,FRENCH,8,,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,no_visible_social_arena,TJONV6,1585,Paris,FRENCH,8,Arithmetic/Commerce,claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer,no_visible_social_arena,19,1,1,1
Jacques Lefèvre d'Étaples,Paris_1516,1516,Paris,LATIN,2,1-15,claim_augmentation_enrichment_composition; claim_ancient_authority_restoration,no_visible_social_arena,1496,1496,,LATIN,,Arithmetic/Commerce | Music,,no_visible_social_arena,20,0,1,0
Pierre Forcadel,Paris_1565,1565,Paris,FRENCH,4,7-9,claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,TJONV6,1585,Paris,FRENCH,8,Arithmetic/Commerce,claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer,no_visible_social_arena,20,1,1,0
Pierre Forcadel,Paris_1566a,1566,Paris,FRENCH,8,,claim_ancient_authority_restoration; claim_selection_extraction_abridgment,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,X5YBIB,1586,Paris,FRENCH,4,Geometry/Theory | Instruments/Measurement,claim_method_demonstration_order; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_visual_material_aids,court_state_service_arena; patronage_prestige_arena,20,1,1,0
Pierre Forcadel,Paris_1566b,1566,Paris,FRENCH,8,,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,no_visible_social_arena,X5YBIB,1586,Paris,FRENCH,4,Geometry/Theory | Instruments/Measurement,claim_method_demonstration_order; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_visual_material_aids,court_state_service_arena; patronage_prestige_arena,20,1,1,0
Pierre de la Ramée,Paris_1549,1549,Paris,LATIN,8,,claim_ancient_authority_restoration,no_visible_social_arena,bib-129,1569,Basel,LATIN,,Arithmetic/Commerce,,no_visible_social_arena,20,0,1,0
Christopher Clavius,Cologne_1591,1591,Cologne,LATIN,4,1-16,claim_method_demonstration_order; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_ancient_authority_restoration; claim_visual_material_aids,religious_institutional_arena,TDJC06,1612,Mainz,LATIN,,No primary family,,no_visible_social_arena,21,0,1,0
Christopher Clavius,Frankfurt_1607,1607,Frankfurt,LATIN,8,1–16,claim_method_demonstration_order; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_ancient_authority_restoration; claim_visual_material_aids,religious_institutional_arena,X2T7PY,1586,Rome,LATIN,,Instruments/Measurement,claim_augmentation_enrichment_composition,religious_institutional_arena,21,0,1,0
Jean Errard,Paris_1598a,1598,Paris,FRENCH,8,1-6,claim_augmentation_enrichment_composition; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,court_state_service_arena; professional_practical_arena,ustc-57,1619,Paris,FRENCH,,Geometry/Theory,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition,court_state_service_arena; professional_practical_arena; patronage_prestige_arena,21,1,1,0
Pedro Ciruelo,70Q8M8,1495,Paris,LATIN,4,,,no_visible_social_arena,N000JX,1516,Alcala,LATIN,2,Arithmetic/Commerce | Cosmos/Earth | Music,,religious_institutional_arena; learned_scholarly_arena,21,0,1,0
Pierre Forcadel,Paris_1564,1564,Paris,FRENCH,4,1-6,claim_augmentation_enrichment_composition; claim_selection_extraction_abridgment,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,TJONV6,1585,Paris,FRENCH,8,Arithmetic/Commerce,claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer,no_visible_social_arena,21,1,1,0
Pierre Forcadel,Paris_1565,1565,Paris,FRENCH,4,7-9,claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,X5YBIB,1586,Paris,FRENCH,4,Geometry/Theory | Instruments/Measurement,claim_method_demonstration_order; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_visual_material_aids,court_state_service_arena; patronage_prestige_arena,21,1,1,1
[No named author/editor],Paris_1626b,1626,Paris,LATIN,6,,claim_ancient_authority_restoration,no_visible_social_arena,ustc-17,1647,Paris,FRENCH,,Arithmetic/Commerce,,no_visible_social_arena,21,1,0,0
Christopher Clavius,Rome_1603,1603,Rome,LATIN,8,1–16,claim_method_demonstration_order; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_ancient_authority_restoration; claim_visual_material_aids,religious_institutional_arena,ZGOHUR,1581,Rome,LATIN,,Instruments/Measurement,claim_method_demonstration_order; claim_augmentation_enrichment_composition,religious_institutional_arena,22,1,1,0
Denis Henrion,Rouen_1649,1649,Rouen,FRENCH,8,1–15,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,learned_scholarly_arena,MorisS-16-10,1627,Lyon,FRENCH,,No primary family,claim_method_demonstration_order; claim_augmentation_enrichment_composition; claim_visual_material_aids,no_visible_social_arena,22,0,1,0
Denis Henrion,Rouen_1649,1649,Rouen,FRENCH,8,1–15,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,learned_scholarly_arena,ustc-26,1627,Paris,FRENCH,,Geometry/Theory | Arithmetic/Commerce | Visual/Spatial Arts | Instruments/Measurement | Applied Mechanics/Military,claim_method_demonstration_order; claim_accessibility_clarity_pedagogy; claim_utility_practice_application; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_visual_material_aids; claim_selection_extraction_abridgment,learned_scholarly_arena; patronage_prestige_arena,22,0,1,0
Gemma Frisius,ZNLALU,1560,Paris,FRENCH,4,,claim_translation_vernacularization_transfer,no_visible_social_arena,bib-262,1582,Antwerp,FRENCH,,Arithmetic/Commerce,claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer,no_visible_social_arena,22,0,1,0
Georges Fournier,Cambridge_1665,1665,Cambridge,LATIN,12,1–6,claim_method_demonstration_order; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_ancient_authority_restoration,pedagogical_school_arena; religious_institutional_arena; learned_scholarly_arena,bib-51,1643,Paris,FRENCH,,Cosmos/Earth,claim_utility_practice_application,learned_scholarly_arena,22,0,0,0
Jean Errard,Paris_1598a,1598,Paris,FRENCH,8,1-6,claim_augmentation_enrichment_composition; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,court_state_service_arena; professional_practical_arena,MorisS-16-6,1620,Paris,FRENCH,,Geometry/Theory,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition,court_state_service_arena; professional_practical_arena; patronage_prestige_arena,22,1,1,0
Pierre Forcadel,Paris_1564,1564,Paris,FRENCH,4,1-6,claim_augmentation_enrichment_composition; claim_selection_extraction_abridgment,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,X5YBIB,1586,Paris,FRENCH,4,Geometry/Theory | Instruments/Measurement,claim_method_demonstration_order; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_visual_material_aids,court_state_service_arena; patronage_prestige_arena,22,1,1,1
Christopher Clavius,Rome_1589,1589,Rome,LATIN,8,1-16,claim_method_demonstration_order; claim_correction_revision_accuracy; claim_ancient_authority_restoration; claim_visual_material_aids,religious_institutional_arena,TDJC06,1612,Mainz,LATIN,,No primary family,,no_visible_social_arena,23,0,1,0
Claude-François Milliet Dechales,Amsterdam_1700,1700,Amsterdam,FRENCH,12,"1–6, 11–12",claim_method_demonstration_order; claim_accessibility_clarity_pedagogy; claim_utility_practice_application; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_ancient_authority_restoration,religious_institutional_arena,bib-54,1677,Paris,FRENCH,,Visual/Spatial Arts | Applied Mechanics/Military,claim_augmentation_enrichment_composition; claim_visual_material_aids,religious_institutional_arena,23,0,1,0
Claude-François Milliet Dechales,Oxford_London_1700,1700,"Oxford, London",ENGLISH,8,"1–6, 11–12",claim_method_demonstration_order; claim_accessibility_clarity_pedagogy; claim_utility_practice_application; claim_correction_revision_accuracy; claim_ancient_authority_restoration,religious_institutional_arena; learned_scholarly_arena; patronage_prestige_arena,bib-54,1677,Paris,FRENCH,,Visual/Spatial Arts | Applied Mechanics/Military,claim_augmentation_enrichment_composition; claim_visual_material_aids,religious_institutional_arena,23,0,0,0
Denis Henrion,Rouen_1649,1649,Rouen,FRENCH,8,1–15,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,learned_scholarly_arena,ustc-23,1626,Paris,FRENCH,,Geometry/Theory,,learned_scholarly_arena,23,0,1,0
Denis Henrion,Rouen_1649,1649,Rouen,FRENCH,8,1–15,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,learned_scholarly_arena,ustc-50,1626,Paris,FRENCH,,Geometry/Theory | Arithmetic/Commerce,,no_visible_social_arena,23,0,1,0
Honoré Fabri,Lyon_1669,1669,Lyon,LATIN,12,,,religious_institutional_arena,MorisS-10-1,1646,Lyon,LATIN,,Applied Mechanics/Military,,religious_institutional_arena; learned_scholarly_arena,23,1,1,0
Jacques Lefèvre d'Étaples,Paris_1516,1516,Paris,LATIN,2,1-15,claim_augmentation_enrichment_composition; claim_ancient_authority_restoration,no_visible_social_arena,bib-172,1493,Paris,LATIN,,No primary family,,no_visible_social_arena,23,1,1,0
Jean Errard,Paris_1598a,1598,Paris,FRENCH,8,1-6,claim_augmentation_enrichment_composition; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,court_state_service_arena; professional_practical_arena,ustc-39,1621,Paris,FRENCH,,Geometry/Theory,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition,court_state_service_arena; professional_practical_arena; patronage_prestige_arena,23,1,1,0
Robert Recorde,FA6MQ0,1551,London,ENGLISH,4,,,no_visible_social_arena,bib-131,1574,London,ENGLISH,,Geometry/Theory | Instruments/Measurement | Cosmos/Earth,,no_visible_social_arena,23,1,1,0
Christopher Clavius,Graz_1636,1636,Graz,LATIN,12,1-6,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,religious_institutional_arena,TDJC06,1612,Mainz,LATIN,,No primary family,,no_visible_social_arena,24,0,1,0
Pierre de la Ramée,Paris_1545,1545,Paris,LATIN,8,1-15,claim_ancient_authority_restoration,no_visible_social_arena,bib-129,1569,Basel,LATIN,,Arithmetic/Commerce,,no_visible_social_arena,24,0,1,0
[No named author/editor],Basel_1570,1570,Basel,DUTCH,2,,claim_method_demonstration_order; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration; claim_visual_material_aids,religious_institutional_arena,bib-222,1546,London,ENGLISH,,Arithmetic/Commerce,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition,no_visible_social_arena,24,0,0,0
Christopher Clavius,Rome_1629,1629,Rome,LATIN,12,1–6,claim_augmentation_enrichment_composition; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,religious_institutional_arena,bib-6,1604,Rome,LATIN,,Geometry/Theory,,religious_institutional_arena,25,1,1,0
Gemma Frisius,ZNLALU,1560,Paris,FRENCH,4,,claim_translation_vernacularization_transfer,no_visible_social_arena,TJONV6,1585,Paris,FRENCH,8,Arithmetic/Commerce,claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer,no_visible_social_arena,25,1,1,0
Pierre Forcadel,ZNLALU,1560,Paris,FRENCH,4,,claim_translation_vernacularization_transfer,no_visible_social_arena,TJONV6,1585,Paris,FRENCH,8,Arithmetic/Commerce,claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer,no_visible_social_arena,25,1,1,0
[No named author/editor],s.l_1650,1650,,LATIN,8,1-6,,no_visible_social_arena,ustc-4,1625,Paris,FRENCH,,Geometry/Theory | Arithmetic/Commerce | Instruments/Measurement,claim_utility_practice_application; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition,general_public_lovers_arena,25,0,0,0
Christopher Clavius,Frankfurt_1607,1607,Frankfurt,LATIN,8,1–16,claim_method_demonstration_order; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_ancient_authority_restoration; claim_visual_material_aids,religious_institutional_arena,ZGOHUR,1581,Rome,LATIN,,Instruments/Measurement,claim_method_demonstration_order; claim_augmentation_enrichment_composition,religious_institutional_arena,26,0,1,0
Claude-François Milliet Dechales,London_1703,1703,London,ENGLISH,12,"1–6, 11–12",claim_method_demonstration_order; claim_accessibility_clarity_pedagogy; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_ancient_authority_restoration; claim_visual_material_aids,religious_institutional_arena,bib-54,1677,Paris,FRENCH,,Visual/Spatial Arts | Applied Mechanics/Military,claim_augmentation_enrichment_composition; claim_visual_material_aids,religious_institutional_arena,26,0,0,0
Denis Henrion,Rouen_1649,1649,Rouen,FRENCH,8,1–15,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,learned_scholarly_arena,MorisS-16-1,1623,Paris,FRENCH,,Geometry/Theory | Arithmetic/Commerce | Visual/Spatial Arts | Applied Mechanics/Military,claim_method_demonstration_order; claim_utility_practice_application; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_visual_material_aids,learned_scholarly_arena; patronage_prestige_arena,26,0,1,0
Denis Henrion,Rouen_1649,1649,Rouen,FRENCH,8,1–15,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,learned_scholarly_arena,MorisS-16-7,1623,Paris,FRENCH,,Geometry/Theory,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,court_state_service_arena; learned_scholarly_arena; patronage_prestige_arena,26,0,1,0
Denis Henrion,Rouen_1649,1649,Rouen,FRENCH,8,1–15,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,learned_scholarly_arena,ustc-60,1623,Paris,FRENCH,,Geometry/Theory,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,no_visible_social_arena,26,0,1,0
Geminiano Rondelli,2L8L55,1719,Bologna,LATIN,,1-6,claim_augmentation_enrichment_composition; claim_ancient_authority_restoration,no_visible_social_arena,Bologna_1693,1693,Bologna,LATIN,,No primary family,claim_method_demonstration_order; claim_accessibility_clarity_pedagogy; claim_ancient_authority_restoration,learned_scholarly_arena,26,1,1,0
Honorat de Meynier,Paris_1652,1652,Paris,FRENCH,12,?,claim_ancient_authority_restoration; claim_selection_extraction_abridgment,learned_scholarly_arena,Paris_1626,1626,Paris,FRENCH,4,Geometry/Theory | Applied Mechanics/Military,claim_method_demonstration_order; claim_utility_practice_application; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,learned_scholarly_arena,26,1,1,0
Jan Pietersz Dou,Amsterdam_1626,1626,Amsterdam,DUTCH,8,1–6,claim_method_demonstration_order; claim_accessibility_clarity_pedagogy; claim_utility_practice_application; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,pedagogical_school_arena; professional_practical_arena; general_public_lovers_arena,bib-209,1600,Leiden,DUTCH,,Geometry/Theory | Instruments/Measurement,,no_visible_social_arena,26,0,1,0
Jan Pietersz Dou,Amsterdam_1626,1626,Amsterdam,DUTCH,8,1–6,claim_method_demonstration_order; claim_accessibility_clarity_pedagogy; claim_utility_practice_application; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,pedagogical_school_arena; professional_practical_arena; general_public_lovers_arena,bib-210,1600,Leiden,DUTCH,,Geometry/Theory | Instruments/Measurement | Cosmos/Earth,,no_visible_social_arena,26,0,1,0
Oronce Finé,Paris_1544,1544,Paris,LATIN,2,1-6,claim_method_demonstration_order; claim_correction_revision_accuracy; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,learned_scholarly_arena,bib-10,1570,Paris,FRENCH,4,Geometry/Theory | Instruments/Measurement,claim_method_demonstration_order; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_visual_material_aids,court_state_service_arena; patronage_prestige_arena,26,1,0,0
Pierre Forcadel,ZNLALU,1560,Paris,FRENCH,4,,claim_translation_vernacularization_transfer,no_visible_social_arena,X5YBIB,1586,Paris,FRENCH,4,Geometry/Theory | Instruments/Measurement,claim_method_demonstration_order; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_visual_material_aids,court_state_service_arena; patronage_prestige_arena,26,1,1,1
Jean Errard,Paris_1629,1629,Paris,FRENCH,4,1–9,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,court_state_service_arena; professional_practical_arena,ustc-29,1602,Paris,FRENCH,,Geometry/Theory,,court_state_service_arena; professional_practical_arena,27,1,1,0
[No named author/editor],Strasbourg_1559,1559,Strasbourg,GREEK,8,1,,no_visible_social_arena,C8SLYQ,1531,Simmern,GERMAN,2,Geometry/Theory | Visual/Spatial Arts,claim_visual_material_aids,no_visible_social_arena,28,0,0,0
Denis Henrion,Rouen_1649,1649,Rouen,FRENCH,8,1–15,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,learned_scholarly_arena,MorisS-16-5,1620,Paris,FRENCH,,Cosmos/Earth,,no_visible_social_arena,29,0,1,0
Denis Henrion,Rouen_1649,1649,Rouen,FRENCH,8,1–15,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,learned_scholarly_arena,MorisS-16-6,1620,Paris,FRENCH,,Geometry/Theory,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition,court_state_service_arena; professional_practical_arena; patronage_prestige_arena,29,0,1,0
Denis Henrion,Rouen_1649,1649,Rouen,FRENCH,8,1–15,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,learned_scholarly_arena,ustc-55,1620,Paris,FRENCH,,Instruments/Measurement | Cosmos/Earth,claim_augmentation_enrichment_composition,no_visible_social_arena,29,0,1,0
Denis Henrion,Rouen_1649,1649,Rouen,FRENCH,8,1–15,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,learned_scholarly_arena,ustc-58,1620,Paris,FRENCH,,Geometry/Theory,,no_visible_social_arena,29,0,1,0
Frans van Schooten,Leiden_1617,1617,Leiden,DUTCH,12,1–15 (enunciations),claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,pedagogical_school_arena; learned_scholarly_arena,bib-61,1646,Leiden,LATIN,,Geometry/Theory | Instruments/Measurement,claim_utility_practice_application; claim_augmentation_enrichment_composition,no_visible_social_arena,29,1,0,0
Frans van Schooten,Leiden_1617,1617,Leiden,DUTCH,12,1–15 (enunciations),claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,pedagogical_school_arena; learned_scholarly_arena,bib-69,1646,Leiden,LATIN,,No primary family,claim_correction_revision_accuracy,pedagogical_school_arena; learned_scholarly_arena,29,1,0,0
